"ItemCode","ItemName","StatisticsYear"
"145","もも","2011～2013年平均"
"146","すいか","2011～2013年平均"
"147","メロン","2011～2013年平均"
"148","いちご","2011～2013年平均"
"149","バナナ","2011～2013年平均"
"150","キウイフルーツ","2011～2013年平均"
"151","他の果物","2011～2013年平均"
"152","果物加工品","2011～2013年平均"
"153","油脂・調味料","2011～2013年平均"
"154","油脂","2011～2013年平均"
"155","食用油","2011～2013年平均"
"156","マーガリン","2011～2013年平均"
"157","調味料","2011～2013年平均"
"158","食塩","2011～2013年平均"
"159","しょう油","2011～2013年平均"
"160","みそ","2011～2013年平均"
"161","砂糖","2011～2013年平均"
"162","酢","2011～2013年平均"
"163","ソース","2011～2013年平均"
"164","ケチャップ","2011～2013年平均"
"165","マヨネーズ・マヨネーズ風調味料","2011～2013年平均"
"166","ドレッシング","2011～2013年平均"
"167","ジャム","2011～2013年平均"
"168","カレールウ","2011～2013年平均"
"169","乾燥スープ","2011～2013年平均"
"170","風味調味料","2011～2013年平均"
"171","ふりかけ","2011～2013年平均"
"172","つゆ・たれ","2011～2013年平均"
"173","他の調味料","2011～2013年平均"
"174","菓子類","2011～2013年平均"
"175","ようかん","2011～2013年平均"
"176","まんじゅう","2011～2013年平均"
"177","他の和生菓子","2011～2013年平均"
"178","カステラ","2011～2013年平均"
"179","ケーキ","2011～2013年平均"
"180","ゼリー","2011～2013年平均"
"181","プリン","2011～2013年平均"
"182","他の洋生菓子","2011～2013年平均"
"183","せんべい","2011～2013年平均"
"184","ビスケット","2011～2013年平均"
"185","スナック菓子","2011～2013年平均"
"186","キャンデー","2011～2013年平均"
"187","チョコレート","2011～2013年平均"
"188","チョコレート菓子","2011～2013年平均"
"189","アイスクリーム・シャーベット","2011～2013年平均"
"190","他の菓子","2011～2013年平均"
"191","調理食品","2011～2013年平均"
"192","主食的調理食品","2011～2013年平均"
"193","弁当","2011～2013年平均"
"194","すし（弁当）","2011～2013年平均"
"195","おにぎり・その他","2011～2013年平均"
"196","調理パン","2011～2013年平均"
"197","他の主食的調理食品","2011～2013年平均"
"198","他の調理食品","2011～2013年平均"
"199","うなぎのかば焼き","2011～2013年平均"
"200","サラダ","2011～2013年平均"
"201","コロッケ","2011～2013年平均"
"202","カツレツ","2011～2013年平均"
"203","天ぷら・フライ","2011～2013年平均"
"204","しゅうまい","2011～2013年平均"
"205","ぎょうざ","2011～2013年平均"
"206","やきとり","2011～2013年平均"
"207","ハンバーグ","2011～2013年平均"
"208","冷凍調理食品","2011～2013年平均"
"209","そうざい材料セット","2011～2013年平均"
"210","他の調理食品のその他","2011～2013年平均"
"211","飲料","2011～2013年平均"
"212","茶類","2011～2013年平均"
"213","緑茶","2011～2013年平均"
"214","紅茶","2011～2013年平均"
"215","他の茶葉","2011～2013年平均"
"216","茶飲料","2011～2013年平均"
"217","コーヒー・ココア","2011～2013年平均"
"218","コーヒー","2011～2013年平均"
"219","コーヒー飲料","2011～2013年平均"
"220","ココア・ココア飲料","2011～2013年平均"
"221","他の飲料","2011～2013年平均"
"222","果実・野菜ジュース","2011～2013年平均"
"223","炭酸飲料","2011～2013年平均"
"224","乳酸菌飲料","2011～2013年平均"
"225","乳飲料","2011～2013年平均"
"226","ミネラルウォーター","2011～2013年平均"
"227","酒類","2011～2013年平均"
"228","清酒","2011～2013年平均"
"229","焼ちゅう","2011～2013年平均"
"230","ビール","2011～2013年平均"
"231","ウイスキー","2011～2013年平均"
"232","ワイン","2011～2013年平均"
"233","発泡酒・ビール風アルコール飲料","2011～2013年平均"
"234","他の酒","2011～2013年平均"
"235","外食","2011～2013年平均"
"236","一般外食","2011～2013年平均"
"237","食事代","2011～2013年平均"
"238","日本そば・うどん","2011～2013年平均"
"239","中華そば","2011～2013年平均"
"240","他のめん類（外食）","2011～2013年平均"
"241","すし（外食）","2011～2013年平均"
"242","和食","2011～2013年平均"
"243","中華食","2011～2013年平均"
"244","洋食","2011～2013年平均"
"245","ハンバーガー","2011～2013年平均"
"246","他の主食的外食","2011～2013年平均"
"247","喫茶代","2011～2013年平均"
"248","飲酒代","2011～2013年平均"
"249","学校給食","2011～2013年平均"
"250","他の室内装備品","2011～2013年平均"
"251","茶わん・皿・鉢","2011～2013年平均"
"252","なべ・やかん","2011～2013年平均"
"253","他の台所用品","2011～2013年平均"
"254","電球・蛍光ランプ","2011～2013年平均"
"255","タオル","2011～2013年平均"
"256","他の家事雑貨","2011～2013年平均"
"257","ポリ袋・ラップ","2011～2013年平均"
"258","ティッシュペーパー","2011～2013年平均"
"259","トイレットペーパー","2011～2013年平均"
"260","台所・住居用洗剤","2011～2013年平均"
"261","洗濯用洗剤","2011～2013年平均"
"262","殺虫・防虫剤","2011～2013年平均"
"263","他の家事用消耗品","2011～2013年平均"
"264","着尺地･生地","2011～2013年平均"
"265","マッサージ料金等（診療外）","2011～2013年平均"
"266","他の保健医療サービス","2011～2013年平均"
"267","レンタカー料金","2011～2013年平均"
"268","他の自動車等関連サービス","2011～2013年平均"
"269","他の教養娯楽用耐久財","2011～2013年平均"
"270","ノート・紙製品","2011～2013年平均"
"271","テレビゲーム機","2011～2013年平均"
"272","ゲームソフト等","2011～2013年平均"
"273","切り花","2011～2013年平均"
"274","他の教養娯楽用品","2011～2013年平均"
"275","ペットフード","2011～2013年平均"
"276","園芸品・同用品","2011～2013年平均"
"277","ゴルフプレー料金","2011～2013年平均"
"278","スポーツクラブ使用料","2011～2013年平均"
"279","他のスポーツ施設使用料","2011～2013年平均"
